row_id,label,sentence,baseline_prob_pos,baseline_entropy,baseline_brier,baseline_margin,baseline_pred,constrained_top128_prob_pos,constrained_top128_entropy,constrained_top128_brier,constrained_top128_margin,constrained_top128_pred,expanded_bottom64_prob_pos,expanded_bottom64_entropy,expanded_bottom64_brier,expanded_bottom64_margin,expanded_bottom64_pred
0,1,it 's a charming and often affecting journey . ,0.9998838901519775,0.001167602022178471,2.6946597841970288e-08,9.061466217041016,1,0.999885082244873,0.0011576403630897403,2.6420055476705784e-08,9.070880889892578,1,0.9998836517333984,0.001170240924693644,2.707122348510893e-08,9.058902740478516,1
1,0,unflinchingly bleak and desperate ,0.0010304978350177407,0.008117382414638996,2.1237428882159293e-06,-6.876682281494141,0,0.0010293124942108989,0.008109224028885365,2.1188459413679084e-06,-6.877834320068359,0,0.0010398284066468477,0.008181590586900711,2.1625573936034925e-06,-6.867659091949463,0
2,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,0.9996399879455566,0.0032144568394869566,2.592007035673305e-07,7.9290771484375,1,0.9996438026428223,0.003184087574481964,2.5372617074026493e-07,7.939775466918945,1,0.9996397495269775,0.0032161821145564318,2.5952698479159153e-07,7.928481101989746,1
3,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",0.9996993541717529,0.002739103278145194,1.8080896779792965e-07,8.10909366607666,1,0.9996992349624634,0.0027394890785217285,1.809032426081103e-07,8.108968734741211,1,0.999699592590332,0.0027371146716177464,1.8051770211968687e-07,8.109912872314453,1
4,0,"it 's slow -- very , very slow . ",0.0003108116507064551,0.0028209458105266094,1.9318723332162335e-07,-8.07601261138916,0,0.0003052680112887174,0.002776185516268015,1.8639359211647388e-07,-8.094015121459961,0,0.00031002474133856595,0.002814542269334197,1.9218072111470974e-07,-8.078548431396484,0
5,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.9998290538787842,0.001653448212891817,5.84318904373049e-08,8.67421817779541,1,0.9998255372047424,0.001684479764662683,6.088666992809522e-08,8.653425216674805,1,0.999828577041626,0.0016579661751165986,5.87754556136133e-08,8.671140670776367,1
6,0,a sometimes tedious film . ,0.0004954660544171929,0.004265813622623682,4.909412609777064e-07,-7.609516143798828,0,0.0004959796206094325,0.004269803874194622,4.920414085063385e-07,-7.6084794998168945,0,0.0004995576455257833,0.004297012463212013,4.991641162632732e-07,-7.601287841796875,0
7,0,or doing last year 's taxes with your ex-wife . ,0.008240413852036,0.04774966835975647,0.00013580863014794886,-4.790430068969727,0,0.00825241394340992,0.04780712351202965,0.00013620415120385587,-4.7889628410339355,0,0.0081494664773345,0.04731347784399986,0.00013282726285979152,-4.801620006561279,0
8,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,0.9926711320877075,0.04333043470978737,0.00010742557788034901,4.9085693359375,1,0.9929741621017456,0.041836339980363846,9.872482041828334e-05,4.951109886169434,1,0.9926427006721497,0.04346981644630432,0.00010826022480614483,4.904673099517822,1
9,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.0007492167642340064,0.006140734069049358,1.1227612048969604e-06,-7.195732593536377,0,0.0007515365141443908,0.006157368421554565,1.1296419870632235e-06,-7.192638874053955,0,0.000748982245568186,0.006139042787253857,1.1220527085242793e-06,-7.196045875549316,0
10,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,0.9998838901519775,0.001167766284197569,2.6951322951163093e-08,9.061290740966797,1,0.9998844861984253,0.0011624221224337816,2.6676936215608293e-08,9.066377639770508,1,0.9998829364776611,0.0011765476083382964,2.7400147928346996e-08,9.052953720092773,1
11,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.00032601217390038073,0.002943397732451558,2.125843252542836e-07,-8.028249740600586,0,0.00033674726728349924,0.003029400482773781,2.268102150537743e-07,-7.995841026306152,0,0.0003278573858551681,0.0029581491835415363,2.1496005331300694e-07,-8.022603988647461,0
12,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0.00018437941616866738,0.0017697293078526855,6.79833362937643e-08,-8.5983304977417,0,0.0001831624686019495,0.001759286387823522,6.709792899073364e-08,-8.60495376586914,0,0.00018470211944077164,0.001772538642399013,6.82344278857272e-08,-8.59658145904541,0
13,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.9570926427841187,0.17707636952400208,0.0036820857785642147,3.104856014251709,1,0.9551503658294678,0.18306156992912292,0.004022981971502304,3.0585527420043945,1,0.9572254419326782,0.17666375637054443,0.0036593256518244743,3.108095407485962,1
14,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0.00022848643129691482,0.0021440766286104918,1.044021260554473e-07,-8.383805274963379,0,0.0002299765619682148,0.0021566241048276424,1.0579580589364923e-07,-8.377303123474121,0,0.00022716549574397504,0.002133007859811187,1.0320277965547575e-07,-8.389604568481445,0
15,1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",0.9998869895935059,0.001140196225605905,2.5546901483153306e-08,9.087753295898438,1,0.9998892545700073,0.001119445078074932,2.452926040064085e-08,9.108159065246582,1,0.9998863935470581,0.0011455644853413105,2.5815751314439694e-08,9.082544326782227,1
16,1,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,0.9994854927062988,0.00441028643399477,5.294210154715984e-07,7.571813583374023,1,0.9994871616363525,0.004397742450237274,5.260068292045617e-07,7.57503604888916,1,0.9994860887527466,0.0044058337807655334,5.282046231513959e-07,7.572955131530762,1
17,1,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.999798595905304,0.0019154191249981523,8.11297269365241e-08,8.509964942932129,1,0.9997976422309875,0.0019238869426771998,8.191896938569698e-08,8.505006790161133,1,0.9997991919517517,0.001910661580041051,8.066711387755277e-08,8.512720108032227,1
